NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
TORRE,BARRA DA TIJUCA,2369401,2528589,"6,72 %",237943,241809,"1,62 %","30,83 %","31,04 %","0,22","14869,80","15181,96","2,10 %","159,34","166,55","4,52 %"
TORRE,BELFORD ROXO,2730311,2345028,"-14,11 %",402736,332576,"-17,42 %","18,77 %","20,94 %","2,17","24969,00","22710,00","-9,05 %","109,35","103,26","-5,57 %"
TORRE,CAMPO GRANDE,2082313,1881637,"-9,64 %",264737,223663,"-15,52 %","25,01 %","25,85 %","0,84","19054,36","16873,21","-11,45 %","109,28","111,52","2,04 %"
TORRE,CENTRAL - ATACADO,400053,69466,"-82,64 %",15316,10368,"-32,31 %","-1,41 %","-31,04 %","-29,64","6,00","1,00","-83,33 %","66675,43","69465,60","4,18 %"
TORRE,COELHO DA ROCHA,1132638,1070809,"-5,46 %",220637,178714,"-19,00 %","16,43 %","17,70 %","1,27","15867,00","14684,00","-7,46 %","71,38","72,92","2,16 %"
TORRE,DUQUE DE CAXIAS,2579339,2327296,"-9,77 %",342684,289829,"-15,42 %","20,50 %","23,02 %","2,52","19876,22","18252,87","-8,17 %","129,77","127,50","-1,75 %"
TORRE,FREGUESIA,1308670,1255675,"-4,05 %",167690,151952,"-9,39 %","24,59 %","25,49 %","0,90","15665,52","14477,58","-7,58 %","83,54","86,73","3,82 %"
TORRE,MARACANA,1873063,1898660,"1,37 %",213099,205256,"-3,68 %","28,06 %","28,49 %","0,43","18372,41","17354,58","-5,54 %","101,95","109,40","7,31 %"
TORRE,MARE,843244,723080,"-14,25 %",132962,117138,"-11,90 %","17,33 %","19,91 %","2,58","12827,00","11184,00","-12,81 %","65,74","64,65","-1,65 %"
TORRE,MARIA DA GRACA,3352262,3058340,"-8,77 %",462508,417442,"-9,74 %","19,81 %","21,39 %","1,58","27734,70","25475,15","-8,15 %","120,87","120,05","-0,68 %"
TORRE,MERCK,1926994,1419449,"-26,34 %",278379,197807,"-28,94 %","20,43 %","22,58 %","2,15","24622,00","20359,00","-17,31 %","78,26","69,72","-10,91 %"
TORRE,NOVA IGUACU,2231446,2221013,"-0,47 %",277391,259052,"-6,61 %","26,41 %","27,16 %","0,75","21672,91","21157,13","-2,38 %","102,96","104,98","1,96 %"
TORRE,NOVA IGUACU CALCADAO,1707248,1502479,"-11,99 %",249799,210799,"-15,61 %","19,72 %","20,85 %","1,13","23647,90","20872,62","-11,74 %","72,19","71,98","-0,29 %"
TORRE,PARK SHOPPING,1478788,1431375,"-3,21 %",198356,181482,"-8,51 %","25,02 %","26,00 %","0,98","17979,00","18468,08","2,72 %","82,25","77,51","-5,77 %"
TORRE,PILARES,2259074,2208302,"-2,25 %",326396,306792,"-6,01 %","22,72 %","23,11 %","0,39","27493,00","26949,68","-1,98 %","82,17","81,94","-0,28 %"
TORRE,PRACA DAS NACOES,1674437,1629426,"-2,69 %",240842,227767,"-5,43 %","23,08 %","24,45 %","1,36","23662,00","23587,00","-0,32 %","70,76","69,08","-2,38 %"
TORRE,PRACA SECA,2000269,1944310,"-2,80 %",293143,275759,"-5,93 %","22,79 %","24,07 %","1,28","27369,75","27772,12","1,47 %","73,08","70,01","-4,21 %"
TORRE,RIO DAS PEDRA,3386896,2944779,"-13,05 %",480004,411471,"-14,28 %","19,97 %","22,92 %","2,95","28913,15","26599,04","-8,00 %","117,14","110,71","-5,49 %"
TORRE,SAO CONRADO 1,2738930,2732272,"-0,24 %",378729,359347,"-5,12 %","21,13 %","23,83 %","2,70","21202,00","21627,00","2,00 %","129,18","126,34","-2,20 %"
TORRE,SAO CONRADO 2,1752222,1736371,"-0,90 %",224906,210563,"-6,38 %","23,92 %","25,24 %","1,32","17052,00","16823,42","-1,34 %","102,76","103,21","0,44 %"
TORRE,TAQUARA,2252304,2132383,"-5,32 %",294744,266472,"-9,59 %","22,80 %","24,06 %","1,26","18961,54","17935,12","-5,41 %","118,78","118,89","0,09 %"
TORRE,TIJUCA,2454322,2370912,"-3,40 %",319660,292507,"-8,49 %","25,33 %","27,49 %","2,16","34440,00","32654,83","-5,18 %","71,26","72,61","1,88 %"
TORRE,VILA DO JOAO,1692704,1535667,"-9,28 %",252666,220394,"-12,77 %","18,34 %","20,16 %","1,82","22549,00","20738,00","-8,03 %","75,07","74,05","-1,35 %"
