Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NOVA IGUACU,PADRAO,169,142,"-15,78 %",29,23,"-20,69 %","41,74 %","37,64 %","-4,11","4,23","3,65","-13,59 %","39,93","38,91","-2,54 %","0,37 %","0,35 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NOVA IGUACU,TORRE,955,1331,"39,38 %",155,126,"-18,71 %","31,50 %","32,75 %","1,25","15,31","10,54","-31,18 %","62,35","126,27","102,52 %","2,45 %","3,56 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,NOVA IGUACU CALCADAO,TORRE,960,554,"-42,26 %",180,89,"-50,56 %","33,34 %","35,28 %","1,94","26,36","16,77","-36,37 %","36,40","33,03","-9,25 %","2,39 %","1,61 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PACHECO,GMAP,372,21,"-94,28 %",35,2,"-94,29 %","33,50 %","32,10 %","-1,40","1,09","0,04","-96,33 %","340,67","531,54","56,03 %","0,74 %","0,05 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PARK SHOPPING,TORRE,896,1040,"16,01 %",158,107,"-32,28 %","32,46 %","33,76 %","1,30","15,78","15,45","-2,09 %","56,81","67,31","18,48 %","2,61 %","3,42 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PAVUNA,GMAP,116,64,"-44,76 %",12,6,"-50,00 %","36,51 %","30,12 %","-6,39","0,87","0,32","-63,23 %","133,35","200,34","50,24 %","0,23 %","0,15 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PAVUNA 3,GMAP,269,23,"-91,60 %",30,2,"-93,33 %","37,55 %","30,48 %","-7,07","2,96","0,13","-95,50 %","90,78","169,35","86,56 %","1,01 %","0,10 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PENHA - CURTUME,PADRAO,66,299,"353,20 %",8,45,"462,50 %","40,92 %","35,79 %","-5,13","0,89","3,34","274,68 %","73,85","89,33","20,96 %","0,27 %","1,30 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PETROPOLIS,GMAP,309,217,"-29,90 %",74,48,"-35,14 %","29,20 %","30,37 %","1,18","11,57","6,89","-40,45 %","26,73","31,47","17,73 %","0,52 %","0,52 %"
MERCEARIA,BISCOITO-TORRADA-BATATA,BISCOITOS DOCE,AMANTEIGADO-PETROLOIS,PILARES,TORRE,475,677,"42,55 %",88,89,"1,14 %","33,85 %","31,38 %","-2,47","7,06","9,90","40,18 %","67,20","68,34","1,69 %","0,94 %","1,35 %"
